Store,Dept,SKU_ID,Date,Weekly_Sales,Predicted_Sales,Forecast_Error,Abs_Error,IsHoliday,Size
1,1,1_1,2012-09-07,18322.37,17359.86,962.510624999999,962.510624999999,1,151315
1,1,1_1,2012-09-14,19616.22,18466.982,1149.2375781250012,1149.2375781250012,0,151315
1,1,1_1,2012-09-21,19251.5,20070.406,-818.90625,818.90625,0,151315
1,1,1_1,2012-09-28,18947.81,19255.746,-307.9360937499987,307.9360937499987,0,151315
1,1,1_1,2012-10-05,21904.47,21104.568,799.9016406250012,799.9016406250012,0,151315
1,1,1_1,2012-10-12,22764.01,23121.266,-357.2556250000016,357.2556250000016,0,151315
1,1,1_1,2012-10-19,24185.27,25060.674,-875.4038281249996,875.4038281249996,0,151315
1,1,1_1,2012-10-26,27390.81,26975.791,415.0189843750013,415.0189843750013,0,151315
1,2,1_2,2012-09-07,47344.5,47358.02,-13.51953125,13.51953125,1,151315
1,2,1_2,2012-09-14,44493.61,46219.863,-1726.2532812499994,1726.2532812499994,0,151315
1,2,1_2,2012-09-21,43541.07,44376.543,-835.4729687500003,835.4729687500003,0,151315
1,2,1_2,2012-09-28,45784.76,44833.43,951.330312500002,951.330312500002,0,151315
1,2,1_2,2012-10-05,48577.08,46663.418,1913.6620312500017,1913.6620312500017,0,151315
1,2,1_2,2012-10-12,42112.67,45700.176,-3587.5057812500017,3587.5057812500017,0,151315
1,2,1_2,2012-10-19,42354.72,43977.875,-1623.1549999999988,1623.1549999999988,0,151315
1,2,1_2,2012-10-26,43134.88,44149.16,-1014.2801562500026,1014.2801562500026,0,151315
1,3,1_3,2012-09-07,18368.51,46618.215,-28249.70484375,28249.70484375,1,151315
1,3,1_3,2012-09-14,14288.22,14389.155,-100.93527343750065,100.93527343750065,0,151315
1,3,1_3,2012-09-21,13403.63,11592.855,1810.7745312499992,1810.7745312499992,0,151315
1,3,1_3,2012-09-28,13085.95,13012.72,73.23027343750073,73.23027343750073,0,151315
1,3,1_3,2012-10-05,11676.98,15670.547,-3993.5668750000004,3993.5668750000004,0,151315
1,3,1_3,2012-10-12,10487.17,12219.252,-1732.081953125,1732.081953125,0,151315
1,3,1_3,2012-10-19,8548.87,11031.064,-2482.194453124999,2482.194453124999,0,151315
1,3,1_3,2012-10-26,9350.9,9655.786,-304.88613281250036,304.88613281250036,0,151315
1,4,1_4,2012-09-07,39549.27,37904.523,1644.7465624999968,1644.7465624999968,1,151315
1,4,1_4,2012-09-14,35044.06,38006.01,-2961.9517187500023,2961.9517187500023,0,151315
1,4,1_4,2012-09-21,34507.34,34544.785,-37.44515625000349,37.44515625000349,0,151315
1,4,1_4,2012-09-28,34647.33,34698.047,-50.716874999998254,50.716874999998254,0,151315
1,4,1_4,2012-10-05,39311.93,36525.32,2786.6096875000003,2786.6096875000003,0,151315
1,4,1_4,2012-10-12,35446.18,37939.53,-2493.3512499999997,2493.3512499999997,0,151315
1,4,1_4,2012-10-19,35549.19,35795.098,-245.90765624999767,245.90765624999767,0,151315
1,4,1_4,2012-10-26,36292.6,35892.47,400.13124999999854,400.13124999999854,0,151315
1,5,1_5,2012-09-07,18236.15,19491.008,-1254.8578124999985,1254.8578124999985,1,151315
1,5,1_5,2012-09-14,19369.52,18218.943,1150.5766406250004,1150.5766406250004,0,151315
1,5,1_5,2012-09-21,25798.78,19246.49,6552.289765624999,6552.289765624999,0,151315
1,5,1_5,2012-09-28,22560.39,23096.992,-536.6021875000006,536.6021875000006,0,151315
1,5,1_5,2012-10-05,25508.81,24262.752,1246.0580468750013,1246.0580468750013,0,151315
1,5,1_5,2012-10-12,20920.03,25986.152,-5066.122343750001,5066.122343750001,0,151315
1,5,1_5,2012-10-19,20413.83,23972.695,-3558.8653124999983,3558.8653124999983,0,151315
1,5,1_5,2012-10-26,25846.94,22437.125,3409.8149999999987,3409.8149999999987,0,151315
1,6,1_6,2012-09-07,2576.64,4150.4585,-1573.8184960937501,1573.8184960937501,1,151315
1,6,1_6,2012-09-14,3073.31,2687.8467,385.46332031249995,385.46332031249995,0,151315
1,6,1_6,2012-09-21,4159.51,3051.5999,1107.9101464843752,1107.9101464843752,0,151315
1,6,1_6,2012-09-28,3168.68,3764.1702,-595.4901660156252,595.4901660156252,0,151315
1,6,1_6,2012-10-05,3843.29,4063.1948,-219.90482421875004,219.90482421875004,0,151315
1,6,1_6,2012-10-12,3788.59,4069.8633,-281.27328124999985,281.27328124999985,0,151315
1,6,1_6,2012-10-19,3496.69,4222.573,-725.8832421875,725.8832421875,0,151315
1,6,1_6,2012-10-26,4032.5,4032.1023,0.397705078125,0.397705078125,0,151315
1,7,1_7,2012-09-07,16941.42,16410.725,530.6953906249983,530.6953906249983,1,151315
1,7,1_7,2012-09-14,15525.82,16297.608,-771.7883984375003,771.7883984375003,0,151315
1,7,1_7,2012-09-21,22542.44,15440.482,7101.957578124999,7101.957578124999,0,151315
1,7,1_7,2012-09-28,22343.24,20353.178,1990.0622656250016,1990.0622656250016,0,151315
1,7,1_7,2012-10-05,22071.39,23910.76,-1839.3697656250006,1839.3697656250006,0,151315
1,7,1_7,2012-10-12,20212.71,22962.576,-2749.866171875001,2749.866171875001,0,151315
1,7,1_7,2012-10-19,21937.45,22574.102,-636.6515624999993,636.6515624999993,0,151315
